Year,Coal,Natural gas,Nuclear,Hydro,"Wind, solar, etc.",Biofuels and waste,Oil,Units
1990,839636,1089913,3426338,193918,7450,460033,3518167,TJ
1995,665581,1238322,4115247,263229,8405,471782,3406690,TJ
2000,623262,1497469,4529040,238908,8158,450761,3442409,TJ
2005,592633,1717653,4925771,185328,14200,503352,3693903,TJ
2010,500830,1784321,4674775,225769,49750,655986,3224704,TJ
2015,390492,1467064,4771940,200003,126203,686240,3157099,TJ
2020,221854,1460981,3859995,223423,221343,706402,2606192,TJ
2021,355132,1549490,4138487,211884,217794,787872,2760492,TJ
